https://app.mapline.com/map/map_5d32f25a ,,,,,,,,,,,
,,,,,,,,,,,
page1:hostel,page1:notes,page1:genderAccomodation,page1:number_of_students,page2:date,page2:time,page2:location:Latitude,page2:location:Longitude,page2:location:Altitude,page2:location:Accuracy,page3:photo,page3:video
Juliana Hostel,Rumoured to be attached to Nkrumah hall. Located opposite Olympia hostel,1,160,Mon May 15 00:00:00 UTC 2017,16:37:00,0.3356121,32.5607389,0,20.145,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A7737da3c-a5a3-4596-b084-313b7bdf359f%5D%2Fpage3%3Aphoto,
Kann Hostel,Located near makerere eastern small gate.,2,218,Mon May 15 00:00:00 UTC 2017,12:38:00,0.3356389,32.5618434,0,1399.999,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A90ad1457-6c8c-48fc-b325-1790e9bc3713%5D%2Fpage3%3Aphoto,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A90ad1457-6c8c-48fc-b325-1790e9bc3713%5D%2Fpage3%3Avideo
Kare Hostel,Rumour has it that it's owned by the IGG of Uganda due to its improved security measures,2,250,Thu May 18 00:00:00 UTC 2017,13:22:00,0.3321929,32.562683,0,50,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A30296cff-02b8-49f1-93f9-ba14b5550b79%5D%2Fpage3%3Aphoto,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A30296cff-02b8-49f1-93f9-ba14b5550b79%5D%2Fpage3%3Avideo
MISH hostel,Located in kikoni close to the famous Olympia hostel,2,467,Thu May 18 00:00:00 UTC 2017,15:31:00,0.3353337,32.560518,0,21.021,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A63617182-129c-4ec3-b87a-d31bf567ca1e%5D%2Fpage3%3Aphoto,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A63617182-129c-4ec3-b87a-d31bf567ca1e%5D%2Fpage3%3Avideo
Prince Hostel,Located near kabugo bodaboda stage in kikoni,2,145,Wed May 17 00:00:00 UTC 2017,13:44:00,0.334857,32.5621535,0,30,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A9d9f1752-b703-4952-a73c-8d2c4f2ac8be%5D%2Fpage3%3Aphoto,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A9d9f1752-b703-4952-a73c-8d2c4f2ac8be%5D%2Fpage3%3Avideo
Rafiki Hostel,Next to kikoni Muslim mosque,2,140,Thu May 18 00:00:00 UTC 2017,12:51:00,0.3346168,32.5614458,0,50,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A7b604fa8-46d5-4b8a-9b16-0e5692366fc7%5D%2Fpage3%3Aphoto,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A7b604fa8-46d5-4b8a-9b16-0e5692366fc7%5D%2Fpage3%3Avideo
Muhika Hostel,Located just next to Pintos girls hostel...it's one of the cheapest hostels,2,217,Thu May 18 00:00:00 UTC 2017,7:18:00,0.3333088,32.5628597,0,28.908,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Adf88f54d-3ca9-4a86-aaa8-e3c759cf3634%5D%2Fpage3%3Aphoto,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Adf88f54d-3ca9-4a86-aaa8-e3c759cf3634%5D%2Fpage3%3Avideo
Naliika Hostel,Located just opposite DreamWorld hostel.,1,200,Wed May 17 00:00:00 UTC 2017,10:40:00,0.333898,32.5619795,0,28.1,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Af74c4b46-f023-481d-991d-bb563561d17e%5D%2Fpage3%3Aphoto,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Af74c4b46-f023-481d-991d-bb563561d17e%5D%2Fpage3%3Avideo
Jesam Hostel,Has large but cheap rooms but a lot of insecurity,2,200,Thu May 18 00:00:00 UTC 2017,14:36:00,0.3309178,32.5636108,0,1500,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A7dad1b98-6e61-4e33-bc8a-468ac36ad0de%5D%2Fpage3%3Aphoto,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A7dad1b98-6e61-4e33-bc8a-468ac36ad0de%5D%2Fpage3%3Avideo
Olympia hostel,Is the most luxurious hostel in kikoni with fancy rooms and a swimming pool,2,386,Thu May 18 00:00:00 UTC 2017,15:45:00,0.3363579,32.5603854,0,31.926,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aa76cf81e-ef04-4a22-b9ab-873f419cfdea%5D%2Fpage3%3Aphoto,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aa76cf81e-ef04-4a22-b9ab-873f419cfdea%5D%2Fpage3%3Avideo
